"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:00.8357384","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,252,864, Working Set: 325,492,736"
"下午 01:34:00.8357768","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:00.8358175","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:00.8358553","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,666,752, Working Set: 59,211,776"
"下午 01:34:00.8358907","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:00.8359294","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:00.8360790","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:00.8361192","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:00.8363181","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:00.8363582","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:00.8363982","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
