各位同學大家好,今天我們要上的內容是關於在漁業資源復育目前我們採行的一些方法,
我們主要是利用在漁苗的放流,並且進行後續的一些追蹤。
所以我今天跟大家簡單介紹一下我們目前在台灣進行的這些研究的項目大概包含哪些部分。
我是環境生物與漁業科學系的王嘉慧老師,
我們在這個投影片上面可以看到,其實這些是我們過去在執行一些漁業署的一些漁苗放流的計畫所用到的一些,
最左邊這個是在宣傳的海報,
另外我們利用了一些體外的標示時的螢光標示,
以及在一些基因序列的分析上面的一些應用。
那為什麼要做這個漁苗放流呢?
其實我們可能在2006年的時候呢,國外的學者有發表了一篇文章,
那他主要是去針對目前的海裡面的這些漁獲量的歷年來的一些統計的結果,
那結果他發現說可能在2050年的時候呢,
全球的這個漁業資源可能就會完全的被我們利用用盡了。
那這個前提當然是在於說,
如果我們沒有在進行任何一些改善或者是改進一些這些漁獲的這些不同的方式的前提下,
那為什麼這些漁獲量的資源呢?
其實在這幾年會慢慢的減少,
尤其是在延禁樣的這些漁業,
他所面臨的這些漁業的危機更是嚴重,
那主要有三個原因,
一個就是目前大家可能很熱烈的在討論的有關於這個climate change,
就是氣候變遷所受到的影響,
所以原本一些魚類的他適合的這個棲地呢,
他已經被破壞掉,
或者是他的水溫受到影響,
而不適合原本的這些魚類的生存,
那第二個是因為他的environmental destruction,
就是他的環境已經海洋的環境受到的一些破壞,
那可能受到一些不管是基礎的污染,
化學物質的污染,
或者是現在大家可能很熱烈的在很多的研究,
在進行的關於這些塑膠微粒,
或者是海洋廢棄物的這些污染,
可能都會讓這些魚類,
或者是他裡面的這些生物,
他原本的這個環境的健康度就遭受到了影響,
那第三個部分呢,
當然就是牽涉到因為這幾年的這些捕魚的,
魚撈的這些技術是非常的進步的,
所以其實我們反而是把海裡面,
不管是大魚小魚,
可能利用不同的魚法而被我們捕撈上來,
那如果我們可以透過一些資源方式的改進,
就是漁獲方式的改進,
才有辦法可以去改善這樣的狀況,
那就是因為這三個就是包含了這個climate change,
然後他的environmental destruction,
and the overfishing,
這三個主要的原因,
所以我們其實這幾年慢慢的重視到,
這個漁業資源的慢慢枯竭的這樣的一個危機,
所以我們就採行了一些,
希望能夠透過一些不同的方式,
能夠去讓海裡面的這些漁業資源,
能夠有一些富裕的這樣的一個狀況,
那所以其實我們在做這些,
捕魚海洋資源的這個方法裡面呢,
其實這個fish restocking,
就是他其實是這幾年來,
把它當成是這個魚類的resources,
restoration的一個很重要的一個手段,
那魚苗放流,
當然我們現在是把這些人工繁殖的這些魚苗,
把它放進入到自然的這個環境當中,
那主要的目的大概有兩個,
一個是我們把它稱作是細群的重建,
或者是restocking,
那第二個是在細群的增值,
就是增加他的這個產值的部分,
就是stock enhancement,
那在這個restocking的部分呢,
主要大概是用在一些,
他的資源量已經極度平穩,
或者是他是非常珍貴,
而且日益稀少的這樣的魚類,
像是在台灣我們可能就有做到像,
櫻花溝文歸他的這個細群的這個重建,
那另外一個是我們其實在海裡面,
他其實是有自然的族群的存在的,
那我們希望能夠透過魚苗的放流,
讓他原本自然的族群的量,
或者是產值是增加,
那我們可以讓人類補充增加,
或者是補充比較高經濟的這些魚類的資源量,
所以我們現在用來做放流,
主要都是為了要來做這個魚類的這個細群增值,
就是stock enhancement的這樣一個purpose,
那過去可能大家會對魚苗放流,
其實有一個蠻負面的這個看法,
或者是意見,
因為其實過去可能在這些魚苗放流的這些活動,
主要都是有一些宗教團體來舉辦,
那因為他為了要達到大家的一些宗教的信仰,
或者是這些信徒希望能夠實際的參與,
所以往往在這個活動的進行的過程當中,
他會耗時,
