sitename,county,aqi,pollutant,status,so2_conc,so2_avg_conc,co_conc,co_8hr_conc,o3_conc,o3_8hr_conc,pm10_conc,pm10_avg_conc,pm2.5_conc,pm2.5_avg_conc,no2_conc,nox_conc,no_conc,windspeed,winddirec,datacreationdate,longitude,latitude,siteid,unit
屏東(枋山),屏東縣,77,細懸浮微粒,普通,0.6,1,0.18,0.2,66,57,41,48,17,22,2,2.4,0.1,3.2,289.0,"2025-11-24 14:00",120.651472,22.260899,313,
臺南（南化）,臺南市,63,細懸浮微粒,普通,1,0,0.3,0.2,67,35,38,26,21,17,3,4,0.2,0.4,353.0,"2025-11-24 14:00",120.44583156,23.04562013,312,
新北(樹林),新北市,52,細懸浮微粒,普通,3.8,0,0.33,0.3,56,27,35,20,21,13,23,25.5,2.2,0.4,326.0,"2025-11-24 14:00",121.38352778,24.94902778,311,
台中市（和平區）,臺中市,37,,良好,0.9,0,0.36,0.2,78,39,40,22,17,7.5,10,10.9,0.8,0.6,290.0,"2025-11-24 14:00",120.883858,24.174592,310,
屏東（琉球）,屏東縣,75,細懸浮微粒,普通,1.1,1,0.15,0.2,56,41,41,49,14,21.1,3,3.9,0.6,2.2,325.0,"2025-11-24 14:00",120.37722,22.35222,204,
南投（鹿谷）,南投縣,42,,良好,1.5,1,0.19,0.1,59,44,27,19,13,10.5,3,4.9,1,1.1,306.0,"2025-11-24 14:00",120.7944772,23.71867609,203,
高雄（湖內）,高雄市,108,細懸浮微粒,對敏感族群不健康,1.6,1,,0.3,79,41,,67,41,33.2,9,10.8,1.2,3.0,277.0,"2025-11-24 14:00",120.24535,22.87985556,202,
宜蘭（三星）,宜蘭縣,29,,良好,1.4,1,0.17,0.1,46,29,28,15,10,7.3,3,3.7,0.4,1.0,63.0,"2025-11-24 14:00",121.6565272,24.6757916,201,
員林,彰化縣,87,細懸浮微粒,普通,1.8,1,0.2,0.3,61,42,34,40,17,25.8,7,9.3,2,2.9,270.0,"2025-11-24 14:00",120.5631893,23.9615945,139,
大城,彰化縣,95,細懸浮微粒,普通,1.3,1,0.15,0.2,54,35,36,53,20,28.5,0,2.2,1.8,6.3,323.0,"2025-11-24 14:00",120.26964167,23.85493056,85,
富貴角,新北市,50,,良好,0.5,1,0.07,0,49,38,24,30,11,11.1,2,2.6,0.5,5.8,38.0,"2025-11-24 14:00",121.53656894,25.29681695,84,
麥寮,雲林縣,79,細懸浮微粒,普通,1.4,1,0.16,0.2,52,33,41,45,16,22.6,2,2.9,0.4,2.4,335.0,"2025-11-24 14:00",120.251825,23.753506,83,
關山,臺東縣,20,,良好,1.2,0,0.09,0.1,36,22,7,12,5,4.7,1,1.9,0.6,2.1,169.0,"2025-11-24 14:00",121.161933,23.045083,80,
馬公,澎湖縣,67,細懸浮微粒,普通,0.1,0,0.22,0.1,55,50,41,39,17,18.5,2,3.2,0.8,4.0,23.0,"2025-11-24 14:00",119.566158,23.569031,78,
金門,金門縣,108,細懸浮微粒,對敏感族群不健康,2.1,1,0.28,0.3,75,39,46,56,24,33.4,11,11.5,0.2,2.2,123.0,"2025-11-24 14:00",118.312256,24.432133,77,
馬祖,連江縣,70,細懸浮微粒,普通,1.7,1,0.31,0.3,54,43,34,33,20,19.4,4,6.1,1.3,2.7,340.0,"2025-11-24 14:00",119.952724,26.153736,75,
埔里,南投縣,52,細懸浮微粒,普通,1.3,1,0.22,0.2,56,29,27,17,14,12.9,2,4.9,2.1,3.2,276.0,"2025-11-24 14:00",120.967903,23.968842,72,
